CUST_ID,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,CUST_RGST,CTPR,OCCP_GRP_1,OCCP_GRP_2,WEDD_YN,CHLD_CNT
1,N,2,47,21111,20,N,199910,충북,3.사무직,사무직,Y,2.0
2,N,1,53,40000,20,N,199910,서울,3.사무직,사무직,Y,2.0
3,N,1,60,0,99,N,199910,서울,5.서비스,2차산업 종사자,N,0.0
4,N,2,64,12861,40,Y,199910,경기,2.자영업,3차산업 종사자,N,0.0
5,N,2,54,0,99,Y,199910,광주,2.자영업,3차산업 종사자,Y,3.0
6,N,1,62,6218,99,N,199910,충남,3.사무직,고위 공무원,Y,1.0
7,Y,2,60,11388,30,N,199910,서울,5.서비스,3차산업 종사자,Y,1.0
8,N,1,57,86527,20,Y,199910,서울,2.자영업,자영업,Y,1.0
9,N,1,54,22638,20,N,199910,서울,4.전문직,공무원,Y,1.0
12,N,1,58,37222,20,N,199910,서울,4.전문직,대학교수/강사,Y,2.0
13,Y,1,63,8140,50,N,199910,경기,6.제조업,운전직,Y,0.0
15,N,1,59,23055,20,N,199910,서울,3.사무직,사무직,Y,0.0
16,N,2,52,6684,12,N,199910,전북,1.주부,주부,Y,0.0
17,N,1,68,14027,20,N,199910,대구,5.서비스,2차산업 종사자,Y,0.0
18,N,1,48,33333,20,N,199910,경기,5.서비스,2차산업 종사자,Y,4.0
19,N,1,64,15833,20,N,199911,경기,2.자영업,자영업,Y,1.0
20,N,1,57,28888,20,N,200003,경기,2.자영업,자영업,Y,2.0
21,N,2,63,8802,11,N,200011,경북,1.주부,주부,Y,2.0
22,N,2,51,4309,12,Y,200102,경기,2.자영업,3차산업 종사자,Y,2.0
23,N,1,81,7813,40,N,200102,대구,5.서비스,3차산업 종사자,Y,0.0
24,N,2,58,1471,11,N,200103,부산,2.자영업,자영업,Y,1.0
25,N,2,49,30000,20,N,200103,경기,1.주부,주부,Y,2.0
26,Y,2,55,15555,20,Y,200104,광주,2.자영업,3차산업 종사자,Y,2.0
27,N,1,55,36111,20,N,200104,서울,6.제조업,운전직,Y,2.0
28,N,1,61,17777,20,N,200105,인천,3.사무직,사무직,Y,1.0
29,N,2,39,0,99,N,200106,울산,3.사무직,공무원,Y,3.0
30,N,2,57,4865,30,N,200106,대구,1.주부,주부,Y,0.0
31,N,2,54,10683,99,N,200106,부산,2.자영업,자영업,Y,2.0
32,N,2,52,15194,99,Y,200106,서울,1.주부,주부,Y,4.0
33,N,2,47,8888,20,N,200107,경남,8.기타,단순 노무직,Y,1.0
34,N,2,49,18888,20,N,200107,대구,1.주부,주부,Y,2.0
35,N,1,51,34631,20,N,200107,서울,5.서비스,2차산업 종사자,Y,2.0
36,N,1,47,6569,99,N,200107,전남,7.1차산업,1차산업 종사자,N,0.0
38,N,2,40,13427,40,N,200108,서울,1.주부,주부,Y,2.0
39,N,2,46,8147,40,N,200108,경기,1.주부,주부,Y,2.0
40,N,1,53,7916,20,N,200108,전북,3.사무직,사무직,Y,2.0
41,N,2,48,15311,40,N,200108,서울,1.주부,주부,Y,2.0
42,N,2,55,10000,30,Y,200108,경기,1.주부,주부,Y,1.0
43,N,2,41,27777,20,N,200108,경남,5.서비스,3차산업 종사자,Y,1.0
44,N,2,61,9861,20,N,200108,대전,1.주부,주부,Y,1.0
45,N,2,58,10555,20,N,200108,경기,5.서비스,3차산업 종사자,Y,2.0
46,N,2,62,6666,20,N,200109,전북,5.서비스,3차산업 종사자,Y,0.0
47,N,2,49,10441,99,Y,200109,경기,1.주부,주부,Y,3.0
48,N,2,42,20416,20,Y,200109,경기,2.자영업,자영업,Y,4.0
49,N,2,58,15015,11,N,200109,경기,1.주부,주부,Y,0.0
50,N,2,63,9189,99,N,200109,인천,1.주부,주부,Y,1.0
52,N,1,50,26944,20,N,200110,인천,5.서비스,2차산업 종사자,Y,2.0
53,N,1,72,12222,20,N,200110,서울,8.기타,기타,N,0.0
54,Y,2,52,5833,20,Y,200111,전남,1.주부,주부,Y,1.0
55,N,2,55,4027,30,Y,200111,경남,2.자영업,3차산업 종사자,Y,1.0
56,Y,2,57,7271,11,N,200111,광주,2.자영업,자영업,Y,0.0
57,N,2,49,0,99,Y,200112,경기,6.제조업,2차산업 종사자,Y,2.0
58,N,2,79,25833,20,N,200112,부산,1.주부,주부,N,0.0
59,N,2,44,14542,99,N,200112,서울,5.서비스,3차산업 종사자,N,0.0
61,N,1,38,8888,20,N,200112,경기,6.제조업,운전직,N,0.0
62,N,1,47,19444,20,N,200201,경기,3.사무직,사무직,Y,2.0
63,Y,2,51,12326,12,Y,200201,부산,8.기타,3차산업 종사자,Y,4.0
64,N,2,60,50972,20,N,200203,서울,2.자영업,자영업,Y,1.0
66,Y,2,49,13333,20,N,200203,광주,5.서비스,3차산업 종사자,Y,3.0
67,N,2,43,0,99,N,200203,경남,4.전문직,교육관련직,Y,2.0
68,N,2,47,30000,20,N,200205,경기,6.제조업,2차산업 종사자,Y,2.0
69,N,2,52,6291,12,N,200205,인천,2.자영업,자영업,Y,2.0
70,N,1,63,3638,11,N,200206,전북,2.자영업,자영업,Y,3.0
71,N,2,55,0,99,N,200207,부산,5.서비스,2차산업 종사자,Y,1.0
72,N,2,61,8055,20,N,200207,경남,1.주부,주부,Y,0.0
74,N,2,45,9305,20,N,200208,경기,1.주부,주부,Y,1.0
75,N,2,51,7092,12,N,200208,부산,2.자영업,자영업,Y,0.0
76,N,1,53,9861,30,N,200208,인천,5.서비스,3차산업 종사자,Y,3.0
77,N,2,58,2704,13,N,200208,부산,5.서비스,3차산업 종사자,N,0.0
78,N,2,52,8611,20,N,200209,충북,4.전문직,사무직,Y,2.0
79,Y,2,59,11409,99,N,200209,인천,1.주부,주부,Y,2.0
80,N,2,66,4722,30,N,200210,강원,8.기타,기타,Y,0.0
81,N,2,53,10277,20,N,200210,서울,1.주부,주부,Y,1.0
82,N,2,51,2196,13,Y,200210,경남,1.주부,주부,Y,2.0
83,N,2,63,0,11,N,200210,전남,8.기타,단순 노무직,Y,0.0
84,N,2,67,5689,99,Y,200210,광주,1.주부,주부,N,0.0
85,N,2,57,28888,20,Y,200211,서울,1.주부,주부,Y,2.0
87,N,2,56,8601,11,N,200211,제주,5.서비스,3차산업 종사자,Y,0.0
88,N,2,73,5281,11,Y,198110,경북,8.기타,기타,N,0.0
89,N,2,69,7338,12,Y,199703,경기,3.사무직,사무직,Y,0.0
90,N,2,69,2167,12,Y,200111,광주,2.자영업,3차산업 종사자,N,0.0
91,N,2,69,21250,30,Y,199205,서울,1.주부,주부,Y,0.0
92,Y,2,68,2842,12,Y,199903,충북,1.주부,주부,N,0.0
93,N,2,68,7777,20,Y,199909,전북,5.서비스,3차산업 종사자,Y,1.0
94,N,2,68,3949,12,Y,199904,서울,1.주부,주부,N,0.0
95,N,2,66,6666,20,Y,198304,경북,8.기타,기타,Y,0.0
96,N,2,65,8611,20,Y,199809,경기,2.자영업,3차산업 종사자,Y,1.0
98,N,2,64,0,99,Y,199206,인천,1.주부,주부,Y,0.0
99,N,2,63,1589,11,Y,198208,전남,1.주부,주부,N,0.0
100,N,2,62,4081,13,N,200209,경기,2.자영업,자영업,Y,0.0
