POLY_NO,CUST_ID,CUST_ROLE,GOOD_CLSF_CDNM,CNTT_YM,CLLT_FP_PRNO,REAL_PAYM_TERM,SALE_CHNL_CODE,CNTT_STAT_CODE,EXPR_YM,PAYM_CYCL_CODE,MAIN_INSR_AMT,SUM_ORIG_PREM,MNTH_INCM_AMT
1,2805,1,일반종신,200306,4671,20,1,1,999912,1,50000000,187150,0
2,5658,1,일반종신,200306,5900,15,1,B,999912,1,50000000,118750,200000
3,4583,1,일반연금,200307,5778,5,1,B,999912,1,42000000,700700,300000
4,14363,1,일반종신,200306,4553,15,1,B,999912,1,50000000,102450,250000
5,1222,0,어린이,200306,3366,10,1,2,202706,1,30000000,33750,150000
6,10519,2,보장,200306,31270,10,1,2,206106,1,30000000,61900,500000
7,12775,2,어린이,200306,5962,5,1,2,202706,1,30000000,38100,150000
8,4605,1,보장,200306,27646,20,1,1,204406,1,30000000,62000,300000
9,5310,1,보장,200306,3621,15,4,1,204606,1,8000000,18380,0
10,21766,2,일반종신,200306,21979,15,1,B,999912,1,40000000,79240,400000
11,11278,1,일반연금,200306,2646,5,1,B,202006,1,18000000,300300,1000000
12,4710,0,일반저축,200306,28701,3,1,B,200606,1,18000000,500000,600000
13,12378,1,어린이,200306,5895,10,1,B,202706,1,20000000,22500,2000000
14,3226,1,일반종신,200306,24414,20,1,1,999912,1,50000000,88250,220000
15,21004,1,일반종신,200306,3009,10,1,B,999912,1,30000000,70840,0
16,8350,2,어린이,200306,4020,5,2,2,202106,1,30000000,39800,0
17,1366,2,보장,200306,5599,15,2,1,206806,1,30000000,30500,200000
18,19558,2,어린이,200306,2374,5,1,2,202706,1,54000000,57780,300000
19,19425,1,일반종신,200306,2238,15,1,B,999912,1,50000000,166250,200000
20,9414,1,변액종신,200306,23996,15,1,B,999912,1,70000000,296850,350000
21,16248,1,변액연금,200306,23744,5,1,B,202706,1,24000000,400400,300000
22,18466,1,일반연금,200306,5464,5,1,B,999912,1,60600000,1020720,1000000
23,18395,1,보장,200306,23387,15,1,1,203706,1,30000000,90100,200000
24,17277,2,어린이,200306,5590,5,2,B,202206,1,30000000,42900,250000
25,13471,1,일반종신,200306,5881,20,1,B,999912,1,70000000,152250,200000
26,9742,0,일반종신,200306,22438,5,1,B,999912,1,25000000,224420,100000
27,10481,2,보장,200306,5294,10,1,2,202306,1,20000000,22400,200000
28,19561,2,어린이,200306,5408,7,1,C,201906,1,60000000,66000,500000
29,2661,5,일반종신,200306,5769,20,1,2,999912,0,20000000,7381560,200000
30,19560,1,변액종신,200306,21020,15,1,B,999912,1,50000000,112800,150000
31,19549,2,어린이,200306,24254,7,1,B,201506,1,30000000,57300,150000
32,20780,1,일반종신,200306,4804,20,1,1,999912,1,40000000,135660,150000
33,169,2,일반저축,200306,5322,5,1,B,201006,1,30000000,500000,300000
34,3174,1,일반종신,200306,22230,10,2,B,999912,0,36941896,5890474,150000
35,16653,2,변액종신,200306,25363,20,1,1,999912,1,70000000,143840,0
36,20271,3,변액종신,200306,24007,5,1,B,999912,1,15400000,100562,300000
37,12207,1,일반종신,200307,25772,15,1,B,999912,1,50000000,126300,150000
38,8352,2,어린이,200306,23452,5,1,2,202506,1,30000000,33000,300000
39,19263,2,어린이,200306,5622,5,4,L,201106,1,20000000,57800,0
40,19522,2,일반종신,200306,5806,20,1,E,999912,1,100000000,130100,300000
41,945,1,변액종신,200306,21147,20,1,1,999912,1,50000000,115750,200000
42,21697,0,어린이,200306,1292,10,1,B,201806,1,30000000,28400,100000
43,11507,1,일반연금,200306,5772,5,1,B,999912,1,9000000,150000,150000
44,5349,1,일반연금,200306,5928,7,1,B,999912,1,8400000,120240,0
45,15008,2,일반종신,200306,5575,20,1,1,999912,1,80000000,127080,500000
46,5409,0,어린이,200306,3045,7,1,B,201806,1,30000000,41800,200000
47,21801,21,어린이,200306,3763,5,1,2,202706,1,20000000,44600,200000
48,2660,2,일반종신,200306,27114,10,1,2,999912,1,50000000,214700,0
49,10049,1,일반종신,200306,2998,20,1,B,999912,1,70000000,92700,0
50,3447,0,일반종신,200306,3556,20,1,B,999912,1,50000000,93850,300000
51,886,1,일반연금,200306,30098,5,1,E,999912,1,30000000,500500,200000
52,7211,5,일반종신,200306,26337,20,1,1,999912,1,50000000,248250,300000
53,958,1,일반종신,200306,5140,15,1,B,999912,1,100000000,128400,200000
54,9605,0,일반종신,200306,4656,20,1,I,999912,1,50000000,83000,150000
55,9605,0,일반종신,200306,4656,20,1,I,999912,1,50000000,80900,150000
56,2244,1,변액종신,200306,26610,10,1,B,999912,1,50000000,105600,300000
57,12053,0,변액종신,200306,25540,20,1,B,999912,1,70000000,217940,300000
58,12053,1,변액종신,200306,25540,15,1,B,999912,1,70000000,131750,300000
59,4665,0,일반종신,200306,24896,15,1,B,999912,1,100000000,132400,250000
60,21737,2,일반종신,200306,2427,20,1,1,999912,1,50000000,97400,100000
61,9061,0,일반종신,200306,5970,15,1,B,999912,1,50000000,95100,250000
62,14195,2,일반종신,200306,31415,20,1,1,999912,1,80000000,203250,150000
63,12697,1,변액종신,200306,2928,20,1,1,999912,1,50000000,72600,120000
64,2995,1,변액종신,200306,22295,15,1,I,999912,1,50000000,98800,90000
65,3453,5,일반종신,200306,2629,15,1,B,999912,1,50000000,150580,800000
66,9109,1,보장,200306,5706,10,1,B,204406,1,15000000,43250,200000
67,21566,21,어린이,200306,25421,5,1,2,201706,0,20000000,2459300,500000
68,11252,0,어린이,200306,21756,5,1,B,202106,1,30000000,44800,0
69,17155,0,어린이,200306,5675,5,1,B,201506,1,36000000,67560,500000
70,13495,0,일반연금,200306,24711,5,1,2,999912,1,12000000,200000,300000
71,7413,2,일반종신,200306,5737,15,1,1,999912,1,60000000,139850,0
72,9788,0,일반종신,200306,6156,20,1,B,999912,1,50000000,168150,250000
73,14945,1,일반종신,200306,6155,20,1,1,999912,1,50000000,154750,300000
74,9788,1,일반종신,200306,6156,20,1,1,999912,1,27000000,51860,100000
75,3898,2,일반연금,200306,6157,5,1,B,999912,1,18000000,300300,200000
76,9517,0,일반종신,200307,776,10,1,2,999912,1,50000000,131500,400000
77,21318,1,일반종신,200306,6183,5,1,B,999912,1,45559570,138500,0
78,8166,2,어린이,200306,30055,5,1,B,202106,1,30000000,36050,200000
79,20156,1,일반종신,200306,4194,20,1,J,999912,1,60000000,126500,500000
80,21677,1,일반종신,200306,22141,20,1,1,999912,1,70000000,128100,300000
81,18010,2,일반종신,200306,3452,20,1,1,999912,1,70000000,169700,200000
82,15655,1,변액종신,200306,21913,10,1,B,999912,1,50000000,180500,500000
83,12360,1,어린이,200306,6090,5,1,2,202706,1,20000000,32900,1000000
84,19240,2,일반종신,200306,5679,20,1,B,999912,1,80000000,124200,300000
85,5207,1,일반종신,200306,5918,15,1,1,999912,1,60000000,167900,200000
86,4567,0,일반연금,200306,28080,5,1,I,999912,1,15000000,250250,500000
